ip_address,dns_name,architecture,function,subnet_cidr,subnet_name
10.1.1.1,moresophy-gw-01,Gateway,OPNsense,,
10.1.1.2,moresophy-pve-02,Virtual,OPNsense,,
10.1.1.4,VLAN-Mgmt,Wifi,Unifi,,
10.1.1.5,VLAN-Guest,Wifi,Unifi,,
10.1.1.6,NAS-01,NFS,TrueNAS,,
10.1.1.7,NAS-02,NFS,TrueNAS,,
10.1.1.10,K8S-ZEN-VIP,Bare Metal,-,,
10.1.1.11,KXS-1,Bare Metal,Ubuntu,,
10.1.1.12,KXS-2,Bare Metal,Ubuntu,,
10.1.1.13,KXS-3,Bare Metal,Ubuntu,,
10.1.1.14,KXS-4,Bare Metal,Ubuntu,,
10.1.2.11,KXS-5,Bare Metal,Ubuntu,,
10.1.2.12,NUC-01-node-01,Bare Metal,Ubuntu,,
10.1.2.50,KXS-11,Bare Metal,Ubuntu,,
10.1.2.51,KXS-12,Bare Metal,Ubuntu,,
10.1.2.52,KXS-13,Bare Metal,Ubuntu,,
10.1.2.55,NUC-01-cpu-01,virtual,Ubuntu,,
10.1.2.30,minesophy-media-01,virtual,Ubuntu,,
10.1.2.31,minesophy-media-02,virtual,Ubuntu,,
10.1.2.32,minesophy-media-03,virtual,Ubuntu,,
10.1.2.33,minesophy-media-04,virtual,Ubuntu,,
10.1.2.34,minesophy-media-05,virtual,Ubuntu,,
10.1.2.35,minesophy-media-06,virtual,Ubuntu,,
10.1.2.40,DB-01,virtual,Ubuntu,,
10.1.2.41,minesophy-worker-01,virtual,Ubuntu,,
10.1.2.42,pve-01,Bare Metal,Proxmox,,
10.1.2.43,minesophy-worker-02,virtual,Ubuntu,,
10.1.2.44,minesophy-mem-01,virtual,Ubuntu,,
10.1.2.45,minesophy-mem-02,virtual,Ubuntu,,
10.1.2.46,minesophy-cache-01,virtual,Ubuntu,,
10.1.2.60,NUC-obs-master-01,Bare Metal,Ubuntu,,
10.1.2.61,NUC-obs-node-01,Bare Metal,Ubuntu,,
10.1.2.62,NUC-obs-node-02,Bare Metal,Ubuntu,,
10.1.2.63,obs-db-01,virtual,Ubuntu,,
10.1.2.64,minesophy-lb-01,virtual,Ubuntu,,
10.1.2.65,minesophy-media-10,virtual,Ubuntu,,
10.1.2.70,P2-Node-01,Bare Metal,PVE,,
10.1.2.71,P2-VM-01,virtual,Ubuntu,,
10.1.2.72,NUC-FC-VM-01,virtual,Ubuntu,,
10.1.2.73,P2-Node-02,Bare Metal,PVE,,
10.1.2.75,P2-Node-03,Bare Metal,PVE,,
10.1.2.80,P3-Node-01,Bare Metal,PVE,,
10.1.2.82,P3-Node-02,Bare Metal,PVE,,
10.1.2.85,NUC-3-FC-Node-01,Bare Metal,PVE,,
10.1.2.86,NUC-3-FC-Node-02,Bare Metal,PVE,,
10.1.2.90,NUC-09-NFS-01,virtual,Ubuntu,,
10.1.2.100,NUC-MAC-01,Bare Metal,macOS,,
10.1.3.111,NUC-07-K8s-01,Bare Metal,PVE,,
10.1.3.112,NUC-07-K8s-02,Bare Metal,PVE,,
10.1.3.113,NUC-07-K8s-03,Bare Metal,PVE,,
10.1.3.114,NUC-07-K8s-04,Bare Metal,PVE,,
10.1.3.115,NUC-07-K8s-05,Bare Metal,PVE,,
10.1.3.116,NUC-07-K8s-06,Bare Metal,PVE,,
10.1.3.117,NUC-07-K8s-07,Bare Metal,PVE,,
10.1.3.118,NUC-07-K8s-08,Bare Metal,PVE,,
10.1.3.119,NUC-07-K8s-09,Bare Metal,PVE,,
10.1.3.120,NUC-07-K8s-10,Bare Metal,PVE,,
10.1.3.121,NUC-07-K8s-11,Bare Metal,PVE,,
10.1.3.130,NUC-07-K8s-17,Bare Metal,PVE,,
10.1.3.131,P3-Node-08,Bare Metal,PVE,,
10.1.3.132,mem-test-01,Bare Metal,PVE,,
10.1.3.133,mem-test-02,Bare Metal,PVE,,
10.1.3.141,NUC-07-mix-01,Bare Metal,PVE,,
10.1.3.142,NUC-07-mix-02,Bare Metal,PVE,,
10.1.3.143,NUC-07-mix-03,Bare Metal,PVE,,
10.1.3.144,NUC-07-mix-04,Bare Metal,PVE,,
10.1.3.145,NUC-07-mix-05,Bare Metal,PVE,,
10.1.3.146,NUC-07-mix-06,Bare Metal,PVE,,
10.1.3.147,mark-test-01,Bare Metal,PVE,,
10.1.3.148,mark-test-02,Bare Metal,PVE,,
10.1.3.150,NUC-SW-01,Bare Metal,TrueNAS,,
10.1.3.151,NUC-SW-02,Bare Metal,TrueNAS,,
10.1.3.156,NUC-TR-01,Bare Metal,TrueNAS,,
10.1.3.157,NUC-TR-02,Bare Metal,TrueNAS,,
10.1.3.158,NUC-TR-03,Bare Metal,TrueNAS,,
10.1.3.160,NUC-04-05-DB-01,,,,,
10.1.3.161,NUC-04-05-DB-02,,,,,
10.1.3.162,NUC-04-05-DB-CLUSTER,,,,,
